section,building,unit,lease_due,collected,collected_on,note
header,month,2026-04,,,,
header,opening_price,1.004122,,,,
header,closing_price,1.008263,,,,
header,shares_open,8420000,,,,
header,shares_close,9160000,,,,
header,buildings_at_cost,9320000.000000,,,,
header,bought,Carrer del Nord 15,690000.000000,,2026-04-22,"Terrassa — 7 apartments, let on completion"
header,previous_roll,0x0a8108c99729bc8224cb31b578099adec80f3eca7820379a6d36a5c53b3b1659,,,,
rent,Rua da Bica 14,1A,815.000000,815.000000,2026-04-02,
rent,Rua da Bica 14,1B,815.000000,815.000000,2026-04-03,
rent,Rua da Bica 14,2A,815.000000,0.000000,,not received
rent,Rua da Bica 14,2B,815.000000,815.000000,2026-04-04,
rent,Rua da Bica 14,3A,815.000000,815.000000,2026-04-01,
rent,Rua da Bica 14,3B,815.000000,815.000000,2026-04-03,
rent,Rua da Bica 14,4A,815.000000,815.000000,2026-04-05,
rent,Rua da Bica 14,4B,815.000000,815.000000,2026-04-03,
rent,Mesón de Paredes 41,1A,980.000000,980.000000,2026-04-14,late
rent,Mesón de Paredes 41,1B,980.000000,980.000000,2026-04-04,
rent,Mesón de Paredes 41,2A,980.000000,980.000000,2026-04-04,
rent,Mesón de Paredes 41,2B,980.000000,980.000000,2026-04-07,
rent,Mesón de Paredes 41,3A,980.000000,980.000000,2026-04-02,
rent,Mesón de Paredes 41,3B,980.000000,980.000000,2026-04-02,
rent,Mesón de Paredes 41,4A,980.000000,980.000000,2026-04-05,
rent,Mesón de Paredes 41,4B,0.000000,0.000000,,vacant
rent,Mesón de Paredes 41,5A,980.000000,980.000000,2026-04-04,
rent,Via Sant'Ottavio 24,1A,710.000000,320.000000,2026-04-06,"partial, balance chased"
rent,Via Sant'Ottavio 24,1B,710.000000,710.000000,2026-04-02,
rent,Via Sant'Ottavio 24,2A,0.000000,0.000000,,vacant
rent,Via Sant'Ottavio 24,2B,710.000000,710.000000,2026-04-04,
rent,Via Sant'Ottavio 24,3A,710.000000,710.000000,2026-04-01,
rent,Via Sant'Ottavio 24,3B,710.000000,710.000000,2026-04-03,
rent,Via Sant'Ottavio 24,4A,710.000000,710.000000,2026-04-17,late
rent,Via Sant'Ottavio 24,4B,710.000000,710.000000,2026-04-02,
rent,Kurt-Eisner-Straße 27,1A,690.000000,690.000000,2026-04-19,late
rent,Kurt-Eisner-Straße 27,1B,690.000000,690.000000,2026-04-03,
rent,Kurt-Eisner-Straße 27,2A,690.000000,690.000000,2026-04-01,
rent,Kurt-Eisner-Straße 27,2B,690.000000,690.000000,2026-04-05,
rent,Kurt-Eisner-Straße 27,3A,690.000000,690.000000,2026-04-02,
rent,Kurt-Eisner-Straße 27,3B,690.000000,690.000000,2026-04-04,
rent,Kurt-Eisner-Straße 27,4A,690.000000,0.000000,,not received
rent,Kurt-Eisner-Straße 27,4B,690.000000,690.000000,2026-04-03,
rent,Kurt-Eisner-Straße 27,5A,690.000000,690.000000,2026-04-04,
rent,Kurt-Eisner-Straße 27,5B,690.000000,690.000000,2026-04-02,
rent,Gohliser Straße 9,1A,715.000000,715.000000,2026-04-07,
rent,Gohliser Straße 9,1B,715.000000,490.000000,2026-04-03,"partial, balance chased"
rent,Gohliser Straße 9,2A,715.000000,715.000000,2026-04-03,
rent,Gohliser Straße 9,2B,715.000000,715.000000,2026-04-04,
rent,Gohliser Straße 9,3A,715.000000,715.000000,2026-04-04,
rent,Gohliser Straße 9,3B,715.000000,715.000000,2026-04-16,late
rent,Beijerlandselaan 112,1A,1060.000000,1060.000000,2026-04-14,late
rent,Beijerlandselaan 112,1B,1060.000000,1060.000000,2026-04-02,
rent,Beijerlandselaan 112,2A,1060.000000,1060.000000,2026-04-05,
rent,Beijerlandselaan 112,2B,1060.000000,1060.000000,2026-04-05,
rent,Beijerlandselaan 112,3A,1060.000000,1060.000000,2026-04-05,
rent,Beijerlandselaan 112,3B,1060.000000,1060.000000,2026-04-01,
rent,Beijerlandselaan 112,4A,1060.000000,1060.000000,2026-04-11,late
rent,Beijerlandselaan 112,4B,1060.000000,1060.000000,2026-04-03,
rent,Beijerlandselaan 112,5A,1060.000000,495.000000,2026-04-05,"partial, balance chased"
rent,Beijerlandselaan 112,5B,1060.000000,1060.000000,2026-04-04,
rent,Zwaanshals 64,1,1050.000000,1050.000000,2026-04-05,
rent,Zwaanshals 64,2,1050.000000,1050.000000,2026-04-02,
rent,Zwaanshals 64,3,1050.000000,1050.000000,2026-04-04,
rent,Zwaanshals 64,4,1050.000000,1050.000000,2026-04-02,
rent,Zwaanshals 64,5,1050.000000,1050.000000,2026-04-02,
rent,Ulica Krakowska 18,1A,650.000000,650.000000,2026-04-03,
rent,Ulica Krakowska 18,1B,650.000000,650.000000,2026-04-02,
rent,Ulica Krakowska 18,2A,650.000000,0.000000,,not received
rent,Ulica Krakowska 18,2B,650.000000,295.000000,2026-04-06,"partial, balance chased"
rent,Ulica Krakowska 18,3A,650.000000,650.000000,2026-04-06,
rent,Ulica Krakowska 18,3B,650.000000,650.000000,2026-04-02,
rent,Ulica Krakowska 18,4A,650.000000,650.000000,2026-04-04,
rent,Ulica Krakowska 18,4B,650.000000,650.000000,2026-04-04,
cost,,,,2718.000000,2026-04-30,Propello Vastgoed B.V. — management fee 0.35% — invoice MGMT-2026-04
cost,Rua da Bica 14,,,365.000000,2026-04-30,"managing agent, Lisbon — invoice AGT-2026-04-LIS"
cost,Rua da Bica 14,,,390.000000,2026-04-30,"property tax, Lisbon — invoice TAX-2026-04"
cost,Rua da Bica 14,,,150.000000,2026-04-30,buildings insurance — invoice INS-2026-04
cost,Mesón de Paredes 41,,,440.000000,2026-04-30,"managing agent, Madrid — invoice AGT-2026-04-MAD"
cost,Mesón de Paredes 41,,,500.000000,2026-04-30,"property tax, Madrid — invoice TAX-2026-04"
