section,building,unit,lease_due,collected,collected_on,note
header,month,2026-03,,,,
header,opening_price,1.000000,,,,
header,closing_price,1.004122,,,,
header,shares_open,0,,,,
header,shares_close,8420000,,,,
header,buildings_at_cost,8630000.000000,,,,
header,bought,Via Sant'Ottavio 24,850000.000000,,2026-03-18,"Turin — 8 apartments, let on completion"
header,previous_roll,0x0000000000000000000000000000000000000000000000000000000000000000,,,,
rent,Rua da Bica 14,1A,815.000000,815.000000,2026-03-04,
rent,Rua da Bica 14,1B,815.000000,815.000000,2026-03-01,
rent,Rua da Bica 14,2A,815.000000,540.000000,2026-03-12,"partial, balance chased"
rent,Rua da Bica 14,2B,815.000000,815.000000,2026-03-04,
rent,Rua da Bica 14,3A,815.000000,815.000000,2026-03-01,
rent,Rua da Bica 14,3B,815.000000,815.000000,2026-03-05,
rent,Rua da Bica 14,4A,815.000000,815.000000,2026-03-03,
rent,Rua da Bica 14,4B,815.000000,815.000000,2026-03-02,
rent,Mesón de Paredes 41,1A,980.000000,735.000000,2026-03-04,"partial, balance chased"
rent,Mesón de Paredes 41,1B,980.000000,700.000000,2026-03-03,"partial, balance chased"
rent,Mesón de Paredes 41,2A,980.000000,980.000000,2026-03-09,late
rent,Mesón de Paredes 41,2B,980.000000,980.000000,2026-03-01,
rent,Mesón de Paredes 41,3A,980.000000,980.000000,2026-03-03,
rent,Mesón de Paredes 41,3B,980.000000,980.000000,2026-03-03,
rent,Mesón de Paredes 41,4A,980.000000,980.000000,2026-03-04,
rent,Mesón de Paredes 41,4B,0.000000,0.000000,,vacant
rent,Mesón de Paredes 41,5A,980.000000,980.000000,2026-03-15,late
rent,Kurt-Eisner-Straße 27,1A,690.000000,690.000000,2026-03-01,
rent,Kurt-Eisner-Straße 27,1B,690.000000,690.000000,2026-03-13,late
rent,Kurt-Eisner-Straße 27,2A,690.000000,690.000000,2026-03-02,
rent,Kurt-Eisner-Straße 27,2B,690.000000,690.000000,2026-03-04,
rent,Kurt-Eisner-Straße 27,3A,690.000000,690.000000,2026-03-04,
rent,Kurt-Eisner-Straße 27,3B,690.000000,690.000000,2026-03-04,
rent,Kurt-Eisner-Straße 27,4A,690.000000,690.000000,2026-03-07,
rent,Kurt-Eisner-Straße 27,4B,690.000000,690.000000,2026-03-01,
rent,Kurt-Eisner-Straße 27,5A,690.000000,690.000000,2026-03-05,
rent,Kurt-Eisner-Straße 27,5B,690.000000,690.000000,2026-03-04,
rent,Gohliser Straße 9,1A,715.000000,715.000000,2026-03-15,late
rent,Gohliser Straße 9,1B,715.000000,0.000000,,not received
rent,Gohliser Straße 9,2A,715.000000,715.000000,2026-03-05,
rent,Gohliser Straße 9,2B,715.000000,715.000000,2026-03-03,
rent,Gohliser Straße 9,3A,715.000000,715.000000,2026-03-05,
rent,Gohliser Straße 9,3B,715.000000,715.000000,2026-03-05,
rent,Beijerlandselaan 112,1A,1060.000000,1060.000000,2026-03-02,
rent,Beijerlandselaan 112,1B,1060.000000,495.000000,2026-03-05,"partial, balance chased"
rent,Beijerlandselaan 112,2A,1060.000000,1060.000000,2026-03-01,
rent,Beijerlandselaan 112,2B,1060.000000,1060.000000,2026-03-05,
rent,Beijerlandselaan 112,3A,1060.000000,1060.000000,2026-03-04,
rent,Beijerlandselaan 112,3B,1060.000000,1060.000000,2026-03-05,
rent,Beijerlandselaan 112,4A,1060.000000,1060.000000,2026-03-02,
rent,Beijerlandselaan 112,4B,1060.000000,1060.000000,2026-03-04,
rent,Beijerlandselaan 112,5A,1060.000000,1060.000000,2026-03-03,
rent,Beijerlandselaan 112,5B,1060.000000,1060.000000,2026-03-04,
rent,Zwaanshals 64,1,1050.000000,1050.000000,2026-03-01,
rent,Zwaanshals 64,2,1050.000000,1050.000000,2026-03-02,
rent,Zwaanshals 64,3,1050.000000,1050.000000,2026-03-02,
rent,Zwaanshals 64,4,1050.000000,1050.000000,2026-03-04,
rent,Zwaanshals 64,5,1050.000000,770.000000,2026-03-16,"partial, balance chased"
rent,Ulica Krakowska 18,1A,650.000000,650.000000,2026-03-09,late
rent,Ulica Krakowska 18,1B,650.000000,350.000000,2026-03-04,"partial, balance chased"
rent,Ulica Krakowska 18,2A,650.000000,650.000000,2026-03-02,
rent,Ulica Krakowska 18,2B,650.000000,650.000000,2026-03-05,
rent,Ulica Krakowska 18,3A,650.000000,650.000000,2026-03-02,
rent,Ulica Krakowska 18,3B,650.000000,650.000000,2026-03-02,
rent,Ulica Krakowska 18,4A,650.000000,650.000000,2026-03-02,
rent,Ulica Krakowska 18,4B,650.000000,0.000000,,not received
cost,,,,2517.000000,2026-03-31,RENTA Vastgoed B.V. — management fee 0.35% — invoice MGMT-2026-03
cost,Rua da Bica 14,,,365.000000,2026-03-31,"managing agent, Lisbon — invoice AGT-2026-03-LIS"
cost,Rua da Bica 14,,,390.000000,2026-03-31,"property tax, Lisbon — invoice TAX-2026-03"
cost,Rua da Bica 14,,,150.000000,2026-03-31,buildings insurance — invoice INS-2026-03
cost,Mesón de Paredes 41,,,440.000000,2026-03-31,"managing agent, Madrid — invoice AGT-2026-03-MAD"
cost,Mesón de Paredes 41,,,500.000000,2026-03-31,"property tax, Madrid — invoice TAX-2026-03"
