section,building,unit,lease_due,collected,collected_on,note
header,month,2026-07,,,,
header,opening_price,1.016626,,,,
header,closing_price,1.021041,,,,
header,shares_open,10240000,,,,
header,shares_close,10608000,,,,
header,buildings_at_cost,10900000.000000,,,,
header,previous_roll,0xbe41d97b213269e2c6e93aaa008df6d1acec9e68602775f4230cc624f2cf92dc,,,,
rent,Rua da Bica 14,1A,815.000000,815.000000,2026-07-01,
rent,Rua da Bica 14,1B,815.000000,815.000000,2026-07-04,
rent,Rua da Bica 14,2A,815.000000,815.000000,2026-07-04,
rent,Rua da Bica 14,2B,815.000000,355.000000,2026-07-04,"partial, balance chased"
rent,Rua da Bica 14,3A,815.000000,815.000000,2026-07-13,late
rent,Rua da Bica 14,3B,815.000000,815.000000,2026-07-19,late
rent,Rua da Bica 14,4A,815.000000,815.000000,2026-07-03,
rent,Rua da Bica 14,4B,815.000000,815.000000,2026-07-02,
rent,Mesón de Paredes 41,1A,980.000000,980.000000,2026-07-05,
rent,Mesón de Paredes 41,1B,980.000000,980.000000,2026-07-02,
rent,Mesón de Paredes 41,2A,980.000000,980.000000,2026-07-03,
rent,Mesón de Paredes 41,2B,980.000000,980.000000,2026-07-18,late
rent,Mesón de Paredes 41,3A,980.000000,980.000000,2026-07-20,late
rent,Mesón de Paredes 41,3B,980.000000,0.000000,,not received
rent,Mesón de Paredes 41,4A,980.000000,980.000000,2026-07-15,late
rent,Mesón de Paredes 41,4B,0.000000,0.000000,,vacant
rent,Mesón de Paredes 41,5A,980.000000,980.000000,2026-07-05,
rent,Torrent de l'Olla 62,1A,1125.000000,1125.000000,2026-07-02,
rent,Torrent de l'Olla 62,1B,1125.000000,1125.000000,2026-07-03,
rent,Torrent de l'Olla 62,2A,1125.000000,1125.000000,2026-07-02,
rent,Torrent de l'Olla 62,2B,1125.000000,1125.000000,2026-07-02,
rent,Torrent de l'Olla 62,3A,1125.000000,1125.000000,2026-07-04,
rent,Torrent de l'Olla 62,3B,1125.000000,1125.000000,2026-07-04,
rent,Carrer del Nord 15,1A,590.000000,590.000000,2026-07-03,
rent,Carrer del Nord 15,1B,590.000000,590.000000,2026-07-02,
rent,Carrer del Nord 15,2A,590.000000,590.000000,2026-07-05,
rent,Carrer del Nord 15,2B,590.000000,325.000000,2026-07-12,"partial, balance chased"
rent,Carrer del Nord 15,3A,590.000000,590.000000,2026-07-05,
rent,Carrer del Nord 15,3B,590.000000,590.000000,2026-07-17,late
rent,Carrer del Nord 15,4A,590.000000,0.000000,,not received
rent,Via Sant'Ottavio 24,1A,710.000000,710.000000,2026-07-05,
rent,Via Sant'Ottavio 24,1B,710.000000,710.000000,2026-07-13,late
rent,Via Sant'Ottavio 24,2A,0.000000,0.000000,,vacant
rent,Via Sant'Ottavio 24,2B,710.000000,710.000000,2026-07-01,
rent,Via Sant'Ottavio 24,3A,710.000000,365.000000,2026-07-05,"partial, balance chased"
rent,Via Sant'Ottavio 24,3B,710.000000,710.000000,2026-07-13,late
rent,Via Sant'Ottavio 24,4A,710.000000,710.000000,2026-07-05,
rent,Via Sant'Ottavio 24,4B,710.000000,710.000000,2026-07-01,
rent,Kurt-Eisner-Straße 27,1A,690.000000,690.000000,2026-07-05,
rent,Kurt-Eisner-Straße 27,1B,690.000000,690.000000,2026-07-04,
rent,Kurt-Eisner-Straße 27,2A,690.000000,690.000000,2026-07-01,
rent,Kurt-Eisner-Straße 27,2B,690.000000,690.000000,2026-07-01,
rent,Kurt-Eisner-Straße 27,3A,690.000000,690.000000,2026-07-02,
rent,Kurt-Eisner-Straße 27,3B,690.000000,690.000000,2026-07-02,
rent,Kurt-Eisner-Straße 27,4A,690.000000,690.000000,2026-07-04,
rent,Kurt-Eisner-Straße 27,4B,690.000000,690.000000,2026-07-01,
rent,Kurt-Eisner-Straße 27,5A,690.000000,690.000000,2026-07-09,late
rent,Kurt-Eisner-Straße 27,5B,690.000000,690.000000,2026-07-05,
rent,Gohliser Straße 9,1A,715.000000,715.000000,2026-07-03,
rent,Gohliser Straße 9,1B,715.000000,600.000000,2026-07-03,"partial, balance chased"
rent,Gohliser Straße 9,2A,715.000000,715.000000,2026-07-02,
rent,Gohliser Straße 9,2B,715.000000,715.000000,2026-07-05,
rent,Gohliser Straße 9,3A,715.000000,715.000000,2026-07-03,
rent,Gohliser Straße 9,3B,715.000000,715.000000,2026-07-05,
rent,Beijerlandselaan 112,1A,1060.000000,1060.000000,2026-07-02,
rent,Beijerlandselaan 112,1B,1060.000000,1060.000000,2026-07-04,
rent,Beijerlandselaan 112,2A,1060.000000,1060.000000,2026-07-05,
rent,Beijerlandselaan 112,2B,1060.000000,1060.000000,2026-07-02,
rent,Beijerlandselaan 112,3A,1060.000000,1060.000000,2026-07-02,
rent,Beijerlandselaan 112,3B,1060.000000,1060.000000,2026-07-04,
rent,Beijerlandselaan 112,4A,1060.000000,1060.000000,2026-07-02,
rent,Beijerlandselaan 112,4B,1060.000000,1060.000000,2026-07-02,
rent,Beijerlandselaan 112,5A,1060.000000,1060.000000,2026-07-03,
rent,Beijerlandselaan 112,5B,1060.000000,1060.000000,2026-07-02,
rent,Zwaanshals 64,1,1050.000000,770.000000,2026-07-04,"partial, balance chased"
rent,Zwaanshals 64,2,1050.000000,575.000000,2026-07-05,"partial, balance chased"
rent,Zwaanshals 64,3,1050.000000,1050.000000,2026-07-01,
rent,Zwaanshals 64,4,1050.000000,1050.000000,2026-07-06,
rent,Zwaanshals 64,5,1050.000000,1050.000000,2026-07-04,
rent,Ulica Krakowska 18,1A,650.000000,650.000000,2026-07-10,late
rent,Ulica Krakowska 18,1B,650.000000,650.000000,2026-07-04,
rent,Ulica Krakowska 18,2A,650.000000,650.000000,2026-07-04,
rent,Ulica Krakowska 18,2B,650.000000,650.000000,2026-07-03,
rent,Ulica Krakowska 18,3A,650.000000,650.000000,2026-07-05,
rent,Ulica Krakowska 18,3B,650.000000,650.000000,2026-07-14,late
rent,Ulica Krakowska 18,4A,650.000000,650.000000,2026-07-02,
rent,Ulica Krakowska 18,4B,650.000000,650.000000,2026-07-12,late
cost,,,,3179.000000,2026-07-31,RENTA Vastgoed B.V. — management fee 0.35% — invoice MGMT-2026-07
cost,Rua da Bica 14,,,365.000000,2026-07-31,"managing agent, Lisbon — invoice AGT-2026-07-LIS"
cost,Rua da Bica 14,,,390.000000,2026-07-31,"property tax, Lisbon — invoice TAX-2026-07"
cost,Rua da Bica 14,,,150.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Mesón de Paredes 41,,,440.000000,2026-07-31,"managing agent, Madrid — invoice AGT-2026-07-MAD"
cost,Mesón de Paredes 41,,,500.000000,2026-07-31,"property tax, Madrid — invoice TAX-2026-07"
cost,Mesón de Paredes 41,,,190.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Torrent de l'Olla 62,,,380.000000,2026-07-31,"managing agent, Barcelona — invoice AGT-2026-07-BAR"
cost,Torrent de l'Olla 62,,,555.000000,2026-07-31,"property tax, Barcelona — invoice TAX-2026-07"
cost,Torrent de l'Olla 62,,,210.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Carrer del Nord 15,,,230.000000,2026-07-31,"managing agent, Terrassa — invoice AGT-2026-07-TER"
cost,Carrer del Nord 15,,,240.000000,2026-07-31,"property tax, Terrassa — invoice TAX-2026-07"
cost,Carrer del Nord 15,,,90.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Via Sant'Ottavio 24,,,280.000000,2026-07-31,"managing agent, Turin — invoice AGT-2026-07-TUR"
cost,Via Sant'Ottavio 24,,,300.000000,2026-07-31,"property tax, Turin — invoice TAX-2026-07"
cost,Via Sant'Ottavio 24,,,115.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Kurt-Eisner-Straße 27,,,390.000000,2026-07-31,"managing agent, Leipzig — invoice AGT-2026-07-LEI"
cost,Kurt-Eisner-Straße 27,,,435.000000,2026-07-31,"property tax, Leipzig — invoice TAX-2026-07"
cost,Kurt-Eisner-Straße 27,,,165.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Gohliser Straße 9,,,240.000000,2026-07-31,"managing agent, Leipzig — invoice AGT-2026-07-LEI"
cost,Gohliser Straße 9,,,265.000000,2026-07-31,"property tax, Leipzig — invoice TAX-2026-07"
cost,Gohliser Straße 9,,,100.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Beijerlandselaan 112,,,595.000000,2026-07-31,"managing agent, Rotterdam — invoice AGT-2026-07-ROT"
cost,Beijerlandselaan 112,,,600.000000,2026-07-31,"property tax, Rotterdam — invoice TAX-2026-07"
cost,Beijerlandselaan 112,,,230.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Zwaanshals 64,,,235.000000,2026-07-31,"managing agent, Rotterdam — invoice AGT-2026-07-ROT"
cost,Zwaanshals 64,,,300.000000,2026-07-31,"property tax, Rotterdam — invoice TAX-2026-07"
cost,Zwaanshals 64,,,115.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Ulica Krakowska 18,,,290.000000,2026-07-31,"managing agent, Kraków — invoice AGT-2026-07-KRA"
cost,Ulica Krakowska 18,,,230.000000,2026-07-31,"property tax, Kraków — invoice TAX-2026-07"
cost,Ulica Krakowska 18,,,90.000000,2026-07-31,buildings insurance — invoice INS-2026-07
cost,Rua da Bica 14,,,685.000000,2026-07-31,"painting, stairwell — invoice LI-202607-100"
cost,Mesón de Paredes 41,,,1010.000000,2026-07-31,lift inspection — invoice MA-202607-101
cost,Torrent de l'Olla 62,,,1105.000000,2026-07-31,gutter — invoice BA-202607-102
cost,Carrer del Nord 15,,,250.000000,2026-07-31,plumbing — invoice TE-202607-103
cost,Via Sant'Ottavio 24,,,590.000000,2026-07-31,plumbing — invoice TU-202607-104
cost,Kurt-Eisner-Straße 27,,,430.000000,2026-07-31,common-parts cleaning — invoice LE-202607-105
cost,Gohliser Straße 9,,,335.000000,2026-07-31,electrician — invoice LE-202607-106
