section,building,unit,lease_due,collected,collected_on,note
header,month,2026-08,,,,
header,opening_price,1.021041,,,,
header,closing_price,1.025393,,,,
header,shares_open,10608000,,,,
header,shares_close,11050000,,,,
header,buildings_at_cost,10900000.000000,,,,
header,previous_roll,0x3fa5ab7123902306d21c1a20d93e628adb6bc8de4ef2526e6c410ef04b3699b9,,,,
rent,Rua da Bica 14,1A,815.000000,815.000000,2026-08-05,
rent,Rua da Bica 14,1B,815.000000,815.000000,2026-08-03,
rent,Rua da Bica 14,2A,815.000000,815.000000,2026-08-03,
rent,Rua da Bica 14,2B,815.000000,815.000000,2026-08-01,
rent,Rua da Bica 14,3A,815.000000,815.000000,2026-08-03,
rent,Rua da Bica 14,3B,815.000000,815.000000,2026-08-01,
rent,Rua da Bica 14,4A,815.000000,815.000000,2026-08-02,
rent,Rua da Bica 14,4B,815.000000,815.000000,2026-08-03,
rent,Mesón de Paredes 41,1A,980.000000,330.000000,2026-08-04,"partial, balance chased"
rent,Mesón de Paredes 41,1B,980.000000,980.000000,2026-08-02,
rent,Mesón de Paredes 41,2A,980.000000,980.000000,2026-08-13,late
rent,Mesón de Paredes 41,2B,980.000000,980.000000,2026-08-04,
rent,Mesón de Paredes 41,3A,980.000000,980.000000,2026-08-04,
rent,Mesón de Paredes 41,3B,980.000000,980.000000,2026-08-02,
rent,Mesón de Paredes 41,4A,980.000000,980.000000,2026-08-05,
rent,Mesón de Paredes 41,4B,0.000000,0.000000,,vacant
rent,Mesón de Paredes 41,5A,980.000000,980.000000,2026-08-02,
rent,Torrent de l'Olla 62,1A,1125.000000,1125.000000,2026-08-01,
rent,Torrent de l'Olla 62,1B,1125.000000,1125.000000,2026-08-04,
rent,Torrent de l'Olla 62,2A,1125.000000,1125.000000,2026-08-04,
rent,Torrent de l'Olla 62,2B,1125.000000,1125.000000,2026-08-01,
rent,Torrent de l'Olla 62,3A,1125.000000,1125.000000,2026-08-02,
rent,Torrent de l'Olla 62,3B,1125.000000,1125.000000,2026-08-03,
rent,Carrer del Nord 15,1A,590.000000,590.000000,2026-08-05,
rent,Carrer del Nord 15,1B,590.000000,590.000000,2026-08-01,
rent,Carrer del Nord 15,2A,590.000000,590.000000,2026-08-03,
rent,Carrer del Nord 15,2B,590.000000,590.000000,2026-08-15,late
rent,Carrer del Nord 15,3A,590.000000,590.000000,2026-08-16,late
rent,Carrer del Nord 15,3B,590.000000,590.000000,2026-08-05,
rent,Carrer del Nord 15,4A,590.000000,590.000000,2026-08-04,
rent,Via Sant'Ottavio 24,1A,710.000000,710.000000,2026-08-01,
rent,Via Sant'Ottavio 24,1B,710.000000,710.000000,2026-08-05,
rent,Via Sant'Ottavio 24,2A,0.000000,0.000000,,vacant
rent,Via Sant'Ottavio 24,2B,710.000000,370.000000,2026-08-02,"partial, balance chased"
rent,Via Sant'Ottavio 24,3A,710.000000,290.000000,2026-08-05,"partial, balance chased"
rent,Via Sant'Ottavio 24,3B,710.000000,710.000000,2026-08-20,late
rent,Via Sant'Ottavio 24,4A,710.000000,710.000000,2026-08-15,late
rent,Via Sant'Ottavio 24,4B,710.000000,710.000000,2026-08-04,
rent,Kurt-Eisner-Straße 27,1A,690.000000,690.000000,2026-08-02,
rent,Kurt-Eisner-Straße 27,1B,690.000000,690.000000,2026-08-03,
rent,Kurt-Eisner-Straße 27,2A,690.000000,690.000000,2026-08-04,
rent,Kurt-Eisner-Straße 27,2B,690.000000,690.000000,2026-08-04,
rent,Kurt-Eisner-Straße 27,3A,690.000000,690.000000,2026-08-01,
rent,Kurt-Eisner-Straße 27,3B,690.000000,690.000000,2026-08-02,
rent,Kurt-Eisner-Straße 27,4A,690.000000,690.000000,2026-08-04,
rent,Kurt-Eisner-Straße 27,4B,690.000000,690.000000,2026-08-03,
rent,Kurt-Eisner-Straße 27,5A,690.000000,690.000000,2026-08-05,
rent,Kurt-Eisner-Straße 27,5B,690.000000,690.000000,2026-08-04,
rent,Gohliser Straße 9,1A,715.000000,715.000000,2026-08-14,late
rent,Gohliser Straße 9,1B,715.000000,715.000000,2026-08-02,
rent,Gohliser Straße 9,2A,715.000000,715.000000,2026-08-05,
rent,Gohliser Straße 9,2B,715.000000,715.000000,2026-08-01,
rent,Gohliser Straße 9,3A,715.000000,715.000000,2026-08-04,
rent,Gohliser Straße 9,3B,715.000000,9.000000,2026-08-01,"partial, balance chased"
rent,Beijerlandselaan 112,1A,1060.000000,1060.000000,2026-08-05,
rent,Beijerlandselaan 112,1B,1060.000000,1060.000000,2026-08-18,late
rent,Beijerlandselaan 112,2A,1060.000000,1060.000000,2026-08-01,
rent,Beijerlandselaan 112,2B,1060.000000,1060.000000,2026-08-04,
rent,Beijerlandselaan 112,3A,1060.000000,1060.000000,2026-08-03,
rent,Beijerlandselaan 112,3B,1060.000000,1060.000000,2026-08-02,
rent,Beijerlandselaan 112,4A,1060.000000,1060.000000,2026-08-02,
rent,Beijerlandselaan 112,4B,1060.000000,560.000000,2026-08-03,"partial, balance chased"
rent,Beijerlandselaan 112,5A,1060.000000,1060.000000,2026-08-20,late
rent,Beijerlandselaan 112,5B,1060.000000,1060.000000,2026-08-02,
rent,Zwaanshals 64,1,271.000000,271.000000,2026-08-04,lease ended 2026-08-09
rent,Zwaanshals 64,2,1050.000000,1050.000000,2026-08-04,
rent,Zwaanshals 64,3,1050.000000,1050.000000,2026-08-03,
rent,Zwaanshals 64,4,1050.000000,1050.000000,2026-08-05,
rent,Zwaanshals 64,5,1050.000000,1050.000000,2026-08-02,
rent,Ulica Krakowska 18,1A,650.000000,650.000000,2026-08-04,
